player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,avg_pitches,height,weight,bats,throws,recurrence,event,num_games
"Moll, Sam",2650.320051441907,89.04138037836891,86.54947655298069,-6.016852459194481,-129.51667308414946,-1.1091277838889786,31.478158139011562,14.534246575342467,69.0,190.0,0.0,0.0,0,0.0,73
"Montero, Rafael",2258.327792448426,93.87658410418017,93.77555683854557,5.458239483255699,-136.57064936689648,-3.0098069280320257,32.71194927771173,18.05263157894737,72.0,190.0,0.0,0.0,0,0.0,76
"Montgomery, Jordan",2140.4646738743604,88.01129835989991,88.4548494112349,-5.22800979004216,-127.97648163425326,-6.274122862237688,30.53757700205339,87.05,78.0,228.0,0.0,0.0,0,0.0,40
"Moore, McKinley",2355.065129556434,92.42254611330699,93.15489898989897,3.7158119099423175,-134.4736048645556,-5.444812145748126,24.5968514715948,20.428571428571427,78.0,225.0,0.0,0.0,0,0.0,7
"Morgan, Eli",2184.6417681687044,86.12960485807953,86.5934487199938,2.43625143747581,-125.39188379656892,-3.0841411629635793,27.117653872479334,19.06153846153846,70.0,190.0,0.0,0.0,0,0.0,65
"Morillo, Juan",2168.6811145510837,94.62321981424148,94.97616099071206,5.362639363731299,-137.5811930475479,-5.533083840314992,39.38124572210815,18.0,73.0,190.0,0.0,0.0,0,0.0,2
"Moronta, Reyes",2322.1349206349214,88.61798941798943,88.97010582010583,3.65239999846156,-128.90825394698498,-4.204555254954912,30.2652977412731,15.4,70.0,265.0,0.0,0.0,0,0.0,5
"Muckenhirn, Zach",1893.8036915204682,87.74600511695905,87.14854166666667,-7.558590983116105,-127.48147389981085,-3.925323283809941,28.139630390143736,20.333333333333332,72.0,205.0,0.0,0.0,0,0.0,6
"Muller, Kyle",2263.824522271409,90.04487304503002,90.41311247121554,-5.372282583266475,-130.9792075067567,-5.138288927936356,25.711751926911283,66.21739130434783,79.0,250.0,0.0,0.0,0,0.0,23
"Murphy, Chris",2316.197565301098,87.49358547650557,87.56016103370851,-5.317558533396182,-127.2878462831923,-2.045484884783396,25.17426420260096,43.5,73.0,186.0,0.0,0.0,0,0.0,20
"Naile, James",1972.7326634282356,89.1354214380766,89.39657233750809,3.642481710592151,-129.7398961539883,-3.027657721940099,30.380187916122203,29.272727272727273,76.0,185.0,0.0,0.0,0,0.0,11
"Navarro, Edgar",2315.0100858700116,89.16660196421225,89.6985089297957,8.113649293704452,-129.6266218187498,-2.700617668028157,25.429904797461266,15.909090909090908,73.0,180.0,0.0,0.0,0,0.0,11
