player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Harris, Hobie",2024-01-01,2024-12-31,3,1997.8571428571427,89.13571428571429,89.27619047619048,4.362220057582412,-129.73666656997693,-5.650881042714481,212.0,75.0,2,1,0,False
"Harris, Hogan",2024-01-01,2024-12-31,21,2291.4013492141394,85.71001718574813,86.0356274162817,-6.880288456803531,-124.50990344859223,-3.2638498904616817,230.0,75.0,2,0,0,False
"Hartlieb, Geoff",2024-01-01,2024-12-31,6,2489.745962818544,93.38453250751638,94.11806129951292,8.491154703955644,-135.78658518197724,-5.179427612331108,240.0,77.0,2,1,0,False
"Hartwig, Grant",2024-01-01,2024-12-31,4,2252.7198057756195,90.05423928784396,89.71033733708153,5.719245926723978,-131.0162649195829,-1.1672714810570486,235.0,77.0,2,1,0,False
"Headrick, Brent",2024-01-01,2024-12-31,1,2092.9166666666665,86.01833333333335,86.72,-6.163048755724002,-125.00991916764342,-5.519921801969885,235.0,78.0,1,0,0,False
"Heaney, Andrew",2024-01-01,2024-12-31,32,2388.5993980082,87.13952702981317,87.07376603322052,-9.042518292190719,-126.55059908636085,-1.6128622214072146,200.0,74.0,1,0,0,False
"Heasley, Jonathan",2024-01-01,2024-12-31,6,2289.224183787227,85.53255757286192,85.55714890906195,3.706604475957447,-124.44565688635558,-3.049115290563688,225.0,75.0,2,1,0,False
"Hedges, Austin",2024-01-01,2024-12-31,1,1668.1,64.95,63.625,6.677073409342587,-94.33471383871628,1.482523138795901,223.0,73.0,2,1,0,False
"Helsley, Ryan",2024-01-01,2024-12-31,69,2476.8102591769384,93.52190048190158,94.07136480376303,0.983993703395209,-136.1204369921425,-5.852067500519307,230.0,74.0,2,1,0,False
"Henriquez, Ronny",2024-01-01,2024-12-31,17,2202.1437409077835,91.85651614161614,92.23113536768811,6.982801131684857,-133.57941758622266,-3.461908358576558,155.0,70.0,2,1,0,False
"Henry, Tommy",2024-01-01,2024-12-31,11,2051.0311323049905,85.60066349165164,86.17343661497445,-5.053855990934168,-124.54120510136795,-2.9106795900667595,205.0,75.0,1,0,0,False
